class_code,class_number, class_name,Fall 2018,Winter 2020,Spring 2019,Summer 2019,Fall 2019,Winter 2020,Spring 2020,Summer 2020,Fall 2020,Winter 2021,Spring 2021,Summer 2021,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023
CMSC,100,Intro to Computer Science,,,,,,,,,,,,,,,,,,,,,
CMSC,100H,Intro to Computer Science,,,,,,,,,,,,,,,,,,,,,
CMSC,101,Comput Thinking & Design,,,,,,,,,,,,,,,,,,,,,
CMSC,104,Prob Solving & Computer Prog,2,,2,,2,,2,1,2,1,2,1,2,1,2,,2,1,2,,2
CMSC,104Y,Prob Sol & Computer Prog,,,,,,,,,,,,,,,,,,,,,
CMSC,201,Computer Science I,38,,22,,38,,21,,38,,21,,39,,21,,38,,21,,28
CMSC,202,Computer Science II,17,,26,,17,,29,,17,,30,,17,,24,,18,,24,,18
CMSC,202H,Computer Science II - Honors,,,,,,,,,,,,,,,,,,,,,
CMSC,203,Discrete Structures,4,,6,1,4,,6,1,4,,7,1,4,,6,1,4,,6,1,5
CMSC,203H,Discrete Structures,,,,,,,,,,,,,,,,,,,1,,
CMSC,210,Advanced Computing,,,,,,,,,,,,,,,1,,,,,,
CMSC,291,Special Topics In CMSC,,,,,1,,1,,1,,1,,,,,,,,,,
CMSC,299,Ind Study:Computer Sci,1,,,,1,,,,,,,,,,1,1,1,,1,,
CMSC,304,Social/Ethical Iss In IT,4,,6,1,6,,6,,6,,6,1,8,,5,1,7,,8,1,7
CMSC,313,Comp Organ & Assemb Lang,4,,4,,4,,5,,6,,5,1,6,,6,1,6,,6,1,5
CMSC,331,Prin Of Prog Languages,3,,4,1,4,,4,1,4,,5,1,7,,6,1,5,,6,1,5
CMSC,340,Advanced C++,,,,,,,,,2,,,,2,,,,2,,,,2
CMSC,341,Data Structures,7,,6,,7,,6,1,9,,6,1,9,,6,1,8,,5,1,8
CMSC,341H,Data Structures,,,,,,,,,,,,,,,,,,,,,
CMSC,345,Software Design/Develop,,,,,,,,,,,,,,,,,,,,,
CMSC,352,"Women,Gender & Info Technology",,,1,,,,1,,,,1,,,,1,,,,1,,
CMSC,391,Special Topics In CMSC,,,,,,,,,,,,,2,,2,,1,,1,,1
CMSC,396,Undergrad Teaching Fellowship,,,,,,,,,1,,1,,1,,1,,2,,2,,1
