,,,Summer 2009,Fall 2009,Spring 2010,Summer 2010,Fall 2010,Spring 2011,Summer 2011,Fall 2011,Spring 2012,Summer 2012,Fall 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Winter 2017,Spring 2017,Summer 2017,Fall 2017,Winter 2018,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Winter 2020,Spring 2020,Summer 2020,Fall 2020,Winter 2021,Spring 2021,Summer 2021,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023
CMPE,212,Prin Of Digital Design,,4,3,,4,3,,4,3,,4,3,,4,3,,7,4,3,4,3,,5,,8,,4,,7,,4,7,,4,,4,,3,,4,,4,,3,,2,,3,,2
CMPE,306,Intro Circuit Theory,,3,2,,2,3,,3,3,,3,4,,5,6,,5,7,,4,7,,5,,8,2,5,,8,2,6,10,2,4,,7,,4,,6,,6,,7,,9,,7,,8
CMPE,306T,Circuit Theory Lab,,1,,,1,1,,1,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
CMPE,310,Systems Design & Prog,,3,3,,3,3,,3,3,,3,3,,3,6,,3,7,,3,4,,3,,4,,6,,4,,4,4,,3,,4,,3,,4,,3,,4,,3,,3,,3
CMPE,311,C Prog & Embedded Systems,,,,,,1,,1,2,,2,,,4,,,6,,,6,,,6,,,,6,,,,6,,,6,,,,6,,,,6,,3,,3,,,,3
CMPE,314,Prin Of Electronic Circ,,2,2,,2,2,,2,2,,2,2,,3,2,2,3,2,2,3,2,2,3,,3,2,3,,3,2,3,3,2,3,,3,,3,,3,,3,,3,,3,,2,,2
CMPE,314T,Electronics Circuits Lab,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMPE,315,Prin VLSI Design,,,3,,3,,,3,,,3,,,3,,,3,,,3,,,3,,3,,3,,3,,3,3,,3,,3,,3,,3,,3,,,,,,,,
CMPE,316,Program Logic Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1
CMPE,320,"Prob, Stat, & Random Pro",,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,
CMPE,321,Exp Techniques for ECE,,,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMPE,323,Signal & Systems Theory,,2,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,,,3,,,,3,,,3,,,,3,,,,3,,,,3,,,,3
CMPE,330,Em Waves Transmission,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,2,,,,2,,,,2,,,,2,,
CMPE,349,Intro to Professional Practice,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,2,,,2,,,,1,,,,1,,,,1,,,,1,,
CMPE,413,Principles VLSI Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,3,,3
CMPE,414,Advanced VLSI Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
CMPE,415,Program Logic Devices,,1,,,1,,,1,1,,,1,,,1,,,1,,,1,,,,1,,1,,1,,1,1,,1,,1,,1,,1,,1,,,,,,,,
CMPE,418,VLSI Design Verif/Test,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,1,,,,1,,,,1
CMPE,419,"Comp Arth Algo, & Impl",,1,,,,,,1,,,,,,,,,,1,,,1,,,,1,,,,1,,,,,1,,,,1,,,,1,,1,,1,,,,
CMPE,422,Digital Signal Process,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,
CMPE,423,Communication Engng,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
CMPE,447,Analog IC Design,,,,,,,,1,,,1,,,,1,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CMPE,450,Capstone I,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,2,,,,3,,,,2,,,,2
CMPE,451,Capstone II,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,2,,,,2,,,,2,,,,2,,
CMPE,471,Exp Techniques for ECE,,,,,,,,,,,,,,,,,,,,2,,,2,,,,1,,,,2,,,2,,,,,,,,2,,,,,,,,2
CMPE,486,Mobile Radio Comm,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
