offered_id,course_id,semester_id,frequency
1,36,1,
2,36,6,
3,36,3,
4,36,4,
5,36,5,
6,36,6,
7,36,7,
8,36,8,
9,36,9,
10,36,10,
11,36,11,
12,36,12,
13,36,13,
14,36,14,
15,36,15,
16,36,16,
17,36,17,
18,36,18,
19,36,19,
20,36,20,
21,36,21,
22,37,1,
23,37,6,
24,37,3,
25,37,4,
26,37,5,
27,37,6,
28,37,7,
29,37,8,
30,37,9,
31,37,10,
32,37,11,
33,37,12,
34,37,13,
35,37,14,
36,37,15,
37,37,16,
38,37,17,
39,37,18,
40,37,19,
41,37,20,
42,37,21,
43,38,1,
44,38,6,
45,38,3,
46,38,4,
47,38,5,
48,38,6,
49,38,7,
50,38,8,
51,38,9,
52,38,10,
53,38,11,
54,38,12,
55,38,13,
56,38,14,
57,38,15,
58,38,16,
59,38,17,
60,38,18,
61,38,19,
62,38,20,
63,38,21,
64,39,1,2
65,39,6,
66,39,3,2
67,39,4,
68,39,5,2
69,39,6,
70,39,7,2
71,39,8,1
72,39,9,2
73,39,10,1
74,39,11,2
75,39,12,1
76,39,13,2
77,39,14,1
78,39,15,2
79,39,16,
80,39,17,2
81,39,18,1
82,39,19,2
83,39,20,
84,39,21,2
85,40,1,
86,40,6,
87,40,3,
88,40,4,
89,40,5,
90,40,6,
91,40,7,
92,40,8,
93,40,9,
94,40,10,
95,40,11,
96,40,12,
97,40,13,
98,40,14,
99,40,15,
100,40,16,
101,40,17,
102,40,18,
103,40,19,
104,40,20,
105,40,21,
106,1,1,38
107,1,6,
108,1,3,22
109,1,4,
110,1,5,38
111,1,6,
112,1,7,21
113,1,8,
114,1,9,38
115,1,10,
116,1,11,21
117,1,12,
118,1,13,39
119,1,14,
120,1,15,21
121,1,16,
122,1,17,38
123,1,18,
124,1,19,21
125,1,20,
126,1,21,28
127,2,1,17
128,2,6,
129,2,3,26
130,2,4,
131,2,5,17
132,2,6,
133,2,7,29
134,2,8,
135,2,9,17
136,2,10,
137,2,11,30
138,2,12,
139,2,13,17
140,2,14,
141,2,15,24
142,2,16,
143,2,17,18
144,2,18,
145,2,19,24
146,2,20,
147,2,21,18
148,41,1,
149,41,6,
150,41,3,
151,41,4,
152,41,5,
153,41,6,
154,41,7,
155,41,8,
156,41,9,
157,41,10,
158,41,11,
159,41,12,
160,41,13,
161,41,14,
162,41,15,
163,41,16,
164,41,17,
165,41,18,
166,41,19,
167,41,20,
168,41,21,
169,3,1,4
170,3,6,
171,3,3,6
172,3,4,1
173,3,5,4
174,3,6,
175,3,7,6
176,3,8,1
177,3,9,4
178,3,10,
179,3,11,7
180,3,12,1
181,3,13,4
182,3,14,
183,3,15,6
184,3,16,1
185,3,17,4
186,3,18,
187,3,19,6
188,3,20,1
189,3,21,5
190,42,1,
191,42,6,
192,42,3,
193,42,4,
194,42,5,
195,42,6,
196,42,7,
197,42,8,
198,42,9,
199,42,10,
200,42,11,
201,42,12,
202,42,13,
203,42,14,
204,42,15,
205,42,16,
206,42,17,
207,42,18,
208,42,19,1
209,42,20,
210,42,21,
211,31,1,
212,31,6,
213,31,3,
214,31,4,
215,31,5,
216,31,6,
217,31,7,
218,31,8,
219,31,9,
220,31,10,
221,31,11,
222,31,12,
223,31,13,
224,31,14,
225,31,15,1
226,31,16,
227,31,17,
228,31,18,
229,31,19,
230,31,20,
231,31,21,
232,43,1,
233,43,6,
234,43,3,
235,43,4,
236,43,5,1
237,43,6,
238,43,7,1
239,43,8,
240,43,9,1
241,43,10,
242,43,11,1
243,43,12,
244,43,13,
245,43,14,
246,43,15,
247,43,16,
248,43,17,
249,43,18,
250,43,19,
251,43,20,
252,43,21,
253,44,1,1
254,44,6,
255,44,3,
256,44,4,
257,44,5,1
258,44,6,
259,44,7,
260,44,8,
261,44,9,
262,44,10,
263,44,11,
264,44,12,
265,44,13,
266,44,14,
267,44,15,1
268,44,16,1
269,44,17,1
270,44,18,
271,44,19,1
272,44,20,
273,44,21,
274,4,1,4
275,4,6,
276,4,3,6
277,4,4,1
278,4,5,6
279,4,6,
280,4,7,6
281,4,8,
282,4,9,6
283,4,10,
284,4,11,6
285,4,12,1
286,4,13,8
287,4,14,
288,4,15,5
289,4,16,1
290,4,17,7
291,4,18,
292,4,19,8
293,4,20,1
294,4,21,7
295,5,1,4
296,5,6,
297,5,3,4
298,5,4,
299,5,5,4
300,5,6,
301,5,7,5
302,5,8,
303,5,9,6
304,5,10,
305,5,11,5
306,5,12,1
307,5,13,6
308,5,14,
309,5,15,6
310,5,16,1
311,5,17,6
312,5,18,
313,5,19,6
314,5,20,1
315,5,21,5
316,6,1,3
317,6,6,
318,6,3,4
319,6,4,1
320,6,5,4
321,6,6,
322,6,7,4
323,6,8,1
324,6,9,4
325,6,10,
326,6,11,5
327,6,12,1
328,6,13,7
329,6,14,
330,6,15,6
331,6,16,1
332,6,17,5
333,6,18,
334,6,19,6
335,6,20,1
336,6,21,5
337,46,1,
338,46,6,
339,46,3,
340,46,4,
341,46,5,
342,46,6,
343,46,7,
344,46,8,
345,46,9,2
346,46,10,
347,46,11,
348,46,12,
349,46,13,2
350,46,14,
351,46,15,
352,46,16,
353,46,17,2
354,46,18,
355,46,19,
356,46,20,
357,46,21,2
358,7,1,7
359,7,6,
360,7,3,6
361,7,4,
362,7,5,7
363,7,6,
364,7,7,6
365,7,8,1
366,7,9,9
367,7,10,
368,7,11,6
369,7,12,1
370,7,13,9
371,7,14,
372,7,15,6
373,7,16,1
374,7,17,8
375,7,18,
376,7,19,5
377,7,20,1
378,7,21,8
379,47,1,
380,47,6,
381,47,3,
382,47,4,
383,47,5,
384,47,6,
385,47,7,
386,47,8,
387,47,9,
388,47,10,
389,47,11,
390,47,12,
391,47,13,
392,47,14,
393,47,15,
394,47,16,
395,47,17,
396,47,18,
397,47,19,
398,47,20,
399,47,21,
400,48,1,
401,48,6,
402,48,3,
403,48,4,
404,48,5,
405,48,6,
406,48,7,
407,48,8,
408,48,9,
409,48,10,
410,48,11,
411,48,12,
412,48,13,
413,48,14,
414,48,15,
415,48,16,
416,48,17,
417,48,18,
418,48,19,
419,48,20,
420,48,21,
421,49,1,
422,49,6,
423,49,3,1
424,49,4,
425,49,5,
426,49,6,
427,49,7,1
428,49,8,
429,49,9,
430,49,10,
431,49,11,1
432,49,12,
433,49,13,
434,49,14,
435,49,15,1
436,49,16,
437,49,17,
438,49,18,
439,49,19,1
440,49,20,
441,49,21,
442,51,1,
443,51,6,
444,51,3,
445,51,4,
446,51,5,
447,51,6,
448,51,7,
449,51,8,
450,51,9,
451,51,10,
452,51,11,
453,51,12,
454,51,13,2
455,51,14,
456,51,15,2
457,51,16,
458,51,17,1
459,51,18,
460,51,19,1
461,51,20,
462,51,21,1
463,52,1,
464,52,6,
465,52,3,
466,52,4,
467,52,5,
468,52,6,
469,52,7,
470,52,8,
471,52,9,1
472,52,10,
473,52,11,1
474,52,12,
475,52,13,1
476,52,14,
477,52,15,1
478,52,16,
479,52,17,2
480,52,18,
481,52,19,2
482,52,20,
483,52,21,1
484,8,1,4
485,8,6,
486,8,3,4
487,8,4,1
488,8,5,5
489,8,6,
490,8,7,5
491,8,8,1
492,8,9,5
493,8,10,
494,8,11,5
495,8,12,1
496,8,13,8
497,8,14,
498,8,15,6
499,8,16,1
500,8,17,7
501,8,18,
502,8,19,6
503,8,20,1
504,8,21,6
505,9,1,4
506,9,6,
507,9,3,4
508,9,4,
509,9,5,5
510,9,6,
511,9,7,4
512,9,8,
513,9,9,5
514,9,10,
515,9,11,5
516,9,12,1
517,9,13,5
518,9,14,
519,9,15,6
520,9,16,
521,9,17,5
